Sample,fr,fs,g C from soil lost,g C from residue lost
P1A,0,1,0.019743845,0
P1B,0,1,0.027381717,0
P1C,0,1,0.026460863,0
P1D,0,1,0.010461424,0
P2A,0.348839309,0.651160691,0.068548727,0.399434014
P2B,0.345594991,0.654405009,0.06594727,0.390975315
P2C,0.392860314,0.607139686,0.0559688,0.331379564
P2D,0.391602337,0.608397663,0.079629917,0.361205787
P3A,0.478782617,0.521217383,0.022124227,0.082074252
P3B,0.58724299,0.41275701,-0.008043902,-0.186446839
P3C,0.492594937,0.507405063,0.028169281,0.065348645
P4A,0.37918997,0.62081003,0.096130278,0.381682553
P4B,0.378224043,0.621775957,0.073839943,0.368817389
P4C,0.41307947,0.58692053,0.07097525,0.330132509
P4D,0.399283575,0.600716425,0.070973532,0.340613969
P5A,0.545880219,0.454119781,0.037840463,0.088916144
P5B,0.529282723,0.470717277,0.026587847,0.127488601
P5C,0.54376034,0.45623966,0.043973871,0.122936284
P5D,0.510393839,0.489606161,0.02785212,0.158537416
V1A,0,1,-0.071304092,0
V1B,0,1,-0.069312835,0
V1C,0,1,-0.048047654,0
V1D,0,1,-0.009090125,0
V2A,0.271907905,0.728092095,0.069772842,0.236626835
V2B,0.259023559,0.740976441,0.033932505,0.253524591
V2C,0.250126435,0.749873565,0.053576843,0.282485532
V2D,0.223095468,0.776904532,0.081250544,0.344857696
V3A,0.318377632,0.681622368,0.017714331,0.030456623
V3B,0.300444456,0.699555544,0.021787865,0.063525123
V3C,0.307386132,0.692613868,0.085448809,0.088754801
V4A,0.26919442,0.73080558,0.045646063,0.248844513
V4B,0.276958843,0.723041157,0.056678514,0.226410371
V4C,0.310440891,0.689559109,0.103246865,0.171971486
V4D,0.269103533,0.730896467,0.008141871,0.23106516
V5A,0.403224374,0.596775626,0.088825241,-0.026992053
V5B,0.387162843,0.612837157,0.171323935,0.07296525
V5C,0.410939412,0.589060588,0.043168945,-0.059183534
V5D,0.373897685,0.626102315,0.166608583,0.1135142
