Sample,Date,Time,Date Time,C_ppm,Flush,Notes,Day
CO2 FREE,11/1/21,3:00 PM,11/1/21 15:00,64,0,,0
2008,11/1/21,3:00 PM,11/1/21 15:00,1949,0,,
2%,11/1/21,3:00 PM,11/1/21 15:00,15249,0,,
P1A,11/1/21,3:00 PM,11/1/21 15:00,504,0,,
P1B,11/1/21,3:00 PM,11/1/21 15:00,496,0,,
P1C,11/1/21,3:00 PM,11/1/21 15:00,488,0,,
P1D,11/1/21,3:00 PM,11/1/21 15:00,490,0,,
P2A,11/1/21,3:00 PM,11/1/21 15:00,593,0,,
P2B,11/1/21,3:00 PM,11/1/21 15:00,596,0,,
P2C,11/1/21,3:00 PM,11/1/21 15:00,581,0,,
P2D,11/1/21,3:00 PM,11/1/21 15:00,604,0,,
P3A,11/1/21,3:00 PM,11/1/21 15:00,568,0,,
P3B,11/1/21,3:00 PM,11/1/21 15:00,585,0,,
P3C,11/1/21,3:00 PM,11/1/21 15:00,571,0,,
P4A,11/1/21,3:00 PM,11/1/21 15:00,746,0,,
P4B,11/1/21,3:00 PM,11/1/21 15:00,731,0,,
P4C,11/1/21,3:00 PM,11/1/21 15:00,1096,0,,
P4D,11/1/21,3:00 PM,11/1/21 15:00,1088,0,,
P5A,11/1/21,3:00 PM,11/1/21 15:00,4376,0,,
P5B,11/1/21,3:00 PM,11/1/21 15:00,4391,0,,
P5C,11/1/21,3:00 PM,11/1/21 15:00,4480,0,,
P5D,11/1/21,3:00 PM,11/1/21 15:00,4279,0,,
V1A,11/1/21,4:00 PM,11/1/21 16:00,681,0,,
V1B,11/1/21,4:00 PM,11/1/21 16:00,723,0,,
V1C,11/1/21,4:00 PM,11/1/21 16:00,759,0,,
V1D,11/1/21,4:00 PM,11/1/21 16:00,746,0,,
V2A,11/1/21,4:00 PM,11/1/21 16:00,23980,0,,
V2B,11/1/21,4:00 PM,11/1/21 16:00,2427,0,,
V2C,11/1/21,4:00 PM,11/1/21 16:00,2554,0,,
V2D,11/1/21,4:00 PM,11/1/21 16:00,2651,0,,
V3A,11/1/21,4:00 PM,11/1/21 16:00,2642,0,,
V3B,11/1/21,4:00 PM,11/1/21 16:00,2693,0,,
V3C,11/1/21,4:00 PM,11/1/21 16:00,2613,0,,
V4A,11/1/21,4:00 PM,11/1/21 16:00,3496,0,,
V4B,11/1/21,4:00 PM,11/1/21 16:00,3834,0,,
V4C,11/1/21,4:00 PM,11/1/21 16:00,3300,0,,
V4D,11/1/21,4:00 PM,11/1/21 16:00,3311,0,,
V5A,11/1/21,4:00 PM,11/1/21 16:00,1739,0,,
V5B,11/1/21,4:00 PM,11/1/21 16:00,1602,0,,
V5C,11/1/21,4:00 PM,11/1/21 16:00,1813,0,,
V5D,11/1/21,4:00 PM,11/1/21 16:00,2146,0,,
CO2 FREE,11/1/21,4:00 PM,11/1/21 16:00,54,0,,
2008,11/1/21,4:00 PM,11/1/21 16:00,2005,0,,
2%,11/1/21,4:00 PM,11/1/21 16:00,12344,0,,
CO2 FREE,11/3/21,4:45 PM,11/3/21 16:45,88,0,,2
2008,11/3/21,4:45 PM,11/3/21 16:45,1769,0,,
2%,11/3/21,4:45 PM,11/3/21 16:45,15412,0,,
P1A,11/3/21,4:45 PM,11/3/21 16:45,6399,0,,
P1B,11/3/21,4:45 PM,11/3/21 16:45,7338,0,,
P1C,11/3/21,4:45 PM,11/3/21 16:45,6223,0,,
P1D,11/3/21,4:45 PM,11/3/21 16:45,6699,0,,
P2A,11/3/21,4:45 PM,11/3/21 16:45,27410,0,,
P2B,11/3/21,4:45 PM,11/3/21 16:45,27721,0,,
P2C,11/3/21,4:45 PM,11/3/21 16:45,27589,0,,
P2D,11/3/21,4:45 PM,11/3/21 16:45,28370,0,,
P3A,11/3/21,4:45 PM,11/3/21 16:45,24190,0,,
P3B,11/3/21,4:45 PM,11/3/21 16:45,23279,0,,
P3C,11/3/21,4:45 PM,11/3/21 16:45,24122,0,,
P4A,11/3/21,4:45 PM,11/3/21 16:45,28043,0,,
P4B,11/3/21,4:45 PM,11/3/21 16:45,28444,0,,
